name,address,city,state,zip,latitude,longitude,geocodeStatus,metro
"FASTSIGNS of Birmingham - Hoover/Vestavia Hills, AL","2711 John Hawkins Pkwy Hoover, AL 35244 USA",Hoover,AL,35244,33.361392535593,-86.829692398275,ok,
"FASTSIGNS of Birmingham, AL - Downtown","4245 1st Ave N Birmingham, AL 35222 USA",Birmingham,AL,35222,33.529579041343,-86.773594663725,ok,
"FASTSIGNS of Decatur, AL","2934 Point Mallard Parkway, SE, Suite A5 Decatur, AL 35603 USA","SE, Suite A5 Decatur",AL,35603,34.541765486697,-86.921820068945,ok,
"FASTSIGNS of Dothan, AL","3160 W Main St, Ste 6 Dothan, AL 36305 USA",Dothan,AL,36305,31.228865034821,-85.439062746486,ok,
"FASTSIGNS of Huntsville, AL","4294 University Dr. NW, Ste. A Huntsville, AL 35816 USA",Ste. A Huntsville,AL,35816,34.735074646563,-86.632296361994,ok,
"FASTSIGNS of Mobile, AL","4668 Airport Blvd Mobile, AL 36608 USA",Mobile,AL,36608,30.676155661435,-88.172439127004,ok,
"FASTSIGNS of Montgomery, AL","1028 Lagoon Business Loop Montgomery, AL 36117 USA",Montgomery,AL,36117,32.408937939643,-86.218101976563,ok,
"FASTSIGNS of The Eastern Shore, AL","2101 US Highway 98, Suite G Daphne, AL 36526 USA","98, Suite G Daphne",AL,36526,30.607838125278,-87.898892071326,ok,
"FASTSIGNS of Tuscaloosa, AL","6201 McFarland Blvd E. Tuscaloosa, AL 35405 USA",Tuscaloosa,AL,35405,,,failed,
"FASTSIGNS of Chandler, AZ","3205 N Arizona Ave, Ste 6 Chandler, AZ 85225 USA",Chandler,AZ,85225,33.35244637033,-111.841718804902,ok,
"FASTSIGNS of East Tucson, AZ","7955 E. Broadway Blvd, Ste 157 Tucson, AZ 85710 USA",Tucson,AZ,85710,32.221015289323,-110.822311322133,ok,
"FASTSIGNS of Gilbert, AZ","1981 E Pecos Rd, Ste 104 Gilbert, AZ 85295 USA",Gilbert,AZ,85295,33.294603085264,-111.747133773976,ok,
"FASTSIGNS of Glendale, AZ","6020 W Bell Rd, Ste E101 Glendale, AZ 85308 USA",Glendale,AZ,85308,33.638730026317,-112.189080674711,ok,
"FASTSIGNS of Goodyear, AZ","600 N Bullard Ave, Ste 7 Goodyear, AZ 85338-2517 USA",Goodyear,AZ,85338,33.440280759883,-112.375670662594,ok,
"FASTSIGNS of Mesa, AZ","7415 E Southern Ave, Unit 104 Mesa, AZ 85209 USA",Mesa,AZ,85209,33.39327227288,-111.672466302331,ok,
FASTSIGNS of Phoenix AZ - North,"4731 E Union Hills Dr, Ste 112 Phoenix, AZ 85050-3319 USA",Phoenix,AZ,85050,33.655158554124,-111.980130926507,ok,
"FASTSIGNS of Phoenix, AZ - Central/Downtown","2517 N Central Ave Phoenix, AZ 85004 USA",Phoenix,AZ,85004,33.475786174882,-112.073702789311,ok,
"FASTSIGNS of Phoenix, Central, East Phoenix, AZ","2924 N 30th St Phoenix, AZ 85016-8008 USA",Phoenix,AZ,85016,33.481014105379,-112.01729318409,ok,
"FASTSIGNS of Scottsdale, AZ - Airpark","7650 E Redfield Rd, Ste C-2 Scottsdale, AZ 85260-6906 USA",Scottsdale,AZ,85260,33.614007520111,-111.915057933562,ok,
"FASTSIGNS of South Scottsdale, AZ","1921 N Scottsdale Rd Scottsdale, AZ 85257-2118 USA",Scottsdale,AZ,85257,33.469440991183,-111.926134112337,ok,
"FASTSIGNS of Surprise, AZ","15332 W Bell Rd, Ste 118 Surprise, AZ 85374-2464 USA",Surprise,AZ,85374,33.638836987113,-112.390494059324,ok,
"FASTSIGNS of Tempe/Southeast Phoenix, AZ","1320 Priest Dr, Ste 104 Tempe, AZ 85281-6959 USA",Tempe,AZ,85281,33.441725372803,-111.958224163128,ok,
"FASTSIGNS of Tucson, AZ - Oracle","3988 N Oracle Rd Tucson, AZ 85705 USA",Tucson,AZ,85705,32.278989977413,-110.97798253029,ok,
"FASTSIGNS of Tucson, AZ - Speedway Blvd","3461 E Speedway Blvd Tucson, AZ 85716 USA",Tucson,AZ,85716,32.236203708029,-110.918845178548,ok,
"FASTSIGNS of West Mesa, AZ","1911 W. Broadway, Suite 7 Mesa, AZ 85202 USA","1911 W. Broadway, Suite 7 Mesa",AZ,85202,33.407540354291,-111.872955504861,ok,
"FASTSIGNS of Little Rock, AR","240 S Shackleford, Suite D Little Rock, AR 72211 USA","240 S Shackleford, Suite D Little Rock",AR,72211,34.752695535599,-92.393958251702,ok,
"FASTSIGNS of Maumelle, AR - North Little Rock","9831 Maumelle Blvd. North Little Rock, AR 72113 USA",North Little Rock,AR,72113,34.822733292081,-92.371142149117,ok,
"FASTSIGNS of North Little Rock, AR - Argenta","300 West 5th North Little Rock, AR 72114 USA",300 West 5th North Little Rock,AR,72114,34.758045510282,-92.270152612594,ok,
"FASTSIGNS of Springdale, AR","1916 W Sunset Ave Springdale, AR 72762 USA",Springdale,AR,72762,36.174834016369,-94.151504111825,ok,
"FASTSIGNS of Eastvale, CA","5337 Hamner Ave, Ste 708 Eastvale, CA 91752 USA",Eastvale,CA,91752,,,failed,
"FASTSIGNS of Santa Ana, CA","3011 S. Harbor Blvd Santa Ana, CA 92704 USA",Santa Ana,CA,92704,33.70685734137,-117.919503020663,ok,los_angeles
